MATERIA,CLAVE,SECC,NRC,DIA,HORA,SALON,PROFESOR
Introduccion a la Programacion,ITIS 002,OO2,27081,L,0900-0959,1CCO1/001,TORIZ - PALACIOS ALFREDO
Introduccion a la Programacion,ITIS 002,OO2,27081,M,0900-1059,1CCO3/104,TORIZ - PALACIOS ALFREDO
Introduccion a la Programacion,ITIS 002,OO2,27081,V,0900-1059,1CCO1/005,TORIZ - PALACIOS ALFREDO
Introduccion a las Matematicas,ITIS 001,OO1,27086,L,0700-0759,1CCO4/102,ROMERO - TEHUITZIL OLIVIA
Introduccion a las Matematicas,ITIS 001,OO1,27086,MV,0700-0859,1CCO4/102,ROMERO - TEHUITZIL OLIVIA
Introduccion a las Matematicas,ITIS 001,OO2,27087,L,1500-1559,1CCO4/103,CONTRERAS - JUAREZ ROBERTO
Introduccion a las Matematicas,ITIS 001,OO2,27087,MV,1500-1659,1CCO4/103,CONTRERAS - JUAREZ ROBERTO
Investigacion de Operaciones,ITIS 607,OO1,27089,L,0900-0959,1CCO5/201,BERMUDEZ - JUAREZ MARIA BLANCA
Investigacion de Operaciones,ITIS 607,OO1,27089,MV,0900-1059,1CCO5/201,BERMUDEZ - JUAREZ MARIA BLANCA
Lengua Extranjera I,FGUS 004,102,27101,MV,1100-1259,1CCO1/001,CONDE - CIRIACO MARTHA ANGELICA
Lengua Extranjera I,FGUS 004,103,27107,AJ,1500-1659,1CCO1/002,PA
Lengua Extranjera I,FGUS 004,104,27109,MV,0700-0859,1EMA5/206,PA
Lengua Extranjera I,FGUS 004,105,27111,MV,1100-1259,1CCO1/003,DEL VILLAR - NIEVA
Lengua Extranjera I,FGUS 004,106,27130,A,1500-1659,1CCO4/201,PA
Lengua Extranjera I,FGUS 004,106,27130,J,1500-1659,1CCO4/202,PA
Lengua Extranjera II,FGUS 005,102,27140,M,0700-0859,1CCO4/309,PA
Lengua Extranjera II,FGUS 005,102,27140,V,0700-0859,1CCO4/403,PA
Lengua Extranjera II,FGUS 005,103,27143,A,0900-1059,1CCO4/305,LOPEZ - RUIZ MARIA TERESA
Lengua Extranjera II,FGUS 005,103,27143,J,0900-1059,1CCO4/402,LOPEZ - RUIZ MARIA TERESA
Lengua Extranjera II,FGUS 005,104,27147,MV,0900-1059,1EMA5/206,HERNANDEZ - GUERRERO MARTHA
Lengua Extranjera II,FGUS 005,105,27148,MV,1100-1259,1EMA5/105,ESCALANTE - CORIA KARINA
Lengua Extranjera II,FGUS 005,107,27151,M,1100-1259,1CCO4/204,SERRANO - RAMIREZ ANA LUCIA
Lengua Extranjera II,FGUS 005,107,27151,V,1100-1259,1CCO4/301,SERRANO - RAMIREZ ANA LUCIA
Lengua Extranjera II,FGUS 005,106,27152,AJ,1300-1459,1EMA5/105,PA
Lengua Extranjera II,FGUS 005,108,27155,A,1300-1459,1CCO4/308,CHAVEZ - HEREDIA CLAUDIA
Lengua Extranjera II,FGUS 005,108,27155,J,1300-1459,1CCO4/301,CHAVEZ - HEREDIA CLAUDIA
Lengua Extranjera II,FGUS 005,109,27158,A,1500-1659,1CCO4/301,PA
Lengua Extranjera II,FGUS 005,109,27158,J,1500-1659,1CCO4/308,PA
Lengua Extranjera II,FGUS 005,110,27170,AJ,1700-1859,1EMA5/105,PA
Lengua Extranjera II,FGUS 005,111,27201,M,1500-1659,1EMA5/207,PA
Lengua Extranjera II,FGUS 005,111,27201,V,1500-1659,1CCO4/404,PA
Lengua Extranjera III,FGUS 006,105,27204,M,0700-0859,1CCO4/104,PA
Lengua Extranjera III,FGUS 006,105,27204,V,0700-0859,1CCO4/404,PA
Lengua Extranjera III,FGUS 006,106,27205,M,0900-1059,1CCO4/204,RODRIGUEZ - GARCIA
Lengua Extranjera III,FGUS 006,106,27205,V,0900-1059,1CCO4/202,RODRIGUEZ - GARCIA
Lengua Extranjera III,FGUS 006,107,27207,A,1100-1259,1CCO4/304,CHAVEZ - HEREDIA CLAUDIA
Lengua Extranjera III,FGUS 006,107,27207,J,1100-1259,1CCO4/303,CHAVEZ - HEREDIA CLAUDIA
Lengua Extranjera III,FGUS 006,102,27208,MV,1300-1459,1EMA5/206,LUNA - GOVEA JOSE LUIS
Lengua Extranjera III,FGUS 006,103,27209,AJ,1500-1659,1EMA5/206,PA
Lengua Extranjera III,FGUS 006,104,27211,MV,1700-1859,1EMA5/206,PA
Lengua Extranjera IV,FGUS 007,102,27214,A,0900-1059,1CCO4/308,LUNA - GOVEA JOSE LUIS
Lengua Extranjera IV,FGUS 007,102,27214,J,0900-1059,1CCO4/301,LUNA - GOVEA JOSE LUIS
Lengua Extranjera IV,FGUS 007,103,27215,MV,0900-1059,1EMA5/104,LUNA - GOVEA JOSE LUIS
Lengua Extranjera IV,FGUS 007,104,27216,A,1100-1259,1CCO4/305,LOPEZ - RUIZ MARIA TERESA
Lengua Extranjera IV,FGUS 007,104,27216,J,1100-1259,1CCO4/102,LOPEZ - RUIZ MARIA TERESA
Lengua Extranjera IV,FGUS 007,105,27218,AJ,1300-1459,1EMA5/104,PA
Lengua Extranjera IV,FGUS 007,106,27219,M,1500-1659,1CCO4/308,PA
Lengua Extranjera IV,FGUS 007,106,27219,V,1500-1659,1CCO4/403,PA
Lengua Extranjera IV,FGUS 007,107,27221,MV,1500-1659,1EMA5/206,PA
Lengua Extranjera IV,FGUS 007,108,27223,AJ,1700-1859,1EMA5/206,PA
Lengua Extranjera IV,FGUS 007,109,27227,AJ,0900-1059,1EMA5/207,PA
Logistica,ITIS 609,OO1,27261,AJ,1300-1459,1CCO4/101,GONZALEZ - VELAZQUEZ ROGELIO
Logistica,ITIS 609,OO1,27261,L,1400-1459,1CCO4/101,GONZALEZ - VELAZQUEZ ROGELIO
Matematicas Discretas,ITIS 008,OO1,27322,AJ,0700-0859,1CCO4/201,ROMERO - TEHUITZIL OLIVIA
Matematicas Discretas,ITIS 008,OO1,27322,L,0800-0859,1CCO4/201,ROMERO - TEHUITZIL OLIVIA
Metodos Estadisticos,ITIS 012,OO1,28384,L,0700-0759,1CCO4/103,PALOMINO - JIMENEZ CARLOS
Metodos Estadisticos,ITIS 012,OO1,28384,MV,0700-0859,1CCO4/103,PALOMINO - JIMENEZ CARLOS
Metodos Estadisticos,ITIS 012,OO2,28386,AJ,1700-1859,1CCO1/004,LEYVA - BONILLA JUAN FRANCISCO
Metodos Estadisticos,ITIS 012,OO2,28386,L,1800-1859,1CCO1/004,LEYVA - BONILLA JUAN FRANCISCO
Mineria de Datos,ITIS 258,OO1,28396,A,1300-1459,1CCO4/102,OLVERA - LOPEZ JOSE ARTURO
Mineria de Datos,ITIS 258,OO1,28396,J,1300-1459,1CCO3/104,OLVERA - LOPEZ JOSE ARTURO
Mineria de Datos,ITIS 258,OO1,28396,L,1400-1459,1CCO4/102,OLVERA - LOPEZ JOSE ARTURO
Modelado de Procesos de Negocios,ITIS 007,OO1,28403,A,0700-0859,1CCO4/103,GUERRERO - GARCIA JOSEFINA
Modelado de Procesos de Negocios,ITIS 007,OO1,28403,J,0700-0859,1CCO3/101,GUERRERO - GARCIA JOSEFINA
Modelado de Procesos de Negocios,ITIS 007,OO2,28404,A,1500-1659,1CCO3/101,MARTINEZ - MIRON ERIKA ANNABEL
Modelado de Procesos de Negocios,ITIS 007,OO2,28404,J,1500-1659,1CCO4/201,MARTINEZ - MIRON ERIKA ANNABEL
Modelos de Desarrollo Web,ITIS 257,OO1,28417,L,0900-0959,1CCO4/101,ROSSAINZ - LOPEZ MARIO
Modelos de Desarrollo Web,ITIS 257,OO1,28417,MV,0900-1059,1CCO4/101,ROSSAINZ - LOPEZ MARIO
Desarrollo de Videojuegos,ITIS 700,OO1,28442,A,1500-1659,1CCO3/104,CONDE - RAMIREZ JUAN CARLOS
Desarrollo de Videojuegos,ITIS 700,OO1,28442,J,1500-1659,1CCO4/102,CONDE - RAMIREZ JUAN CARLOS
Desarrollo de Videojuegos,ITIS 700,OO1,28442,L,1600-1659,1CCO4/102,CONDE - RAMIREZ JUAN CARLOS
Tecnologias Web,ITIS 255,OO2,28973,L,0900-0959,1CCO2/207,PEREZ - LUCERO JOSUE
Tecnologias Web,ITIS 255,OO2,28973,M,0900-1059,1CCO2/207,PEREZ - LUCERO JOSUE
Tecnologias Web,ITIS 255,OO2,28973,V,0900-1059,1CCO3/208,PEREZ - LUCERO JOSUE
Matematicas Discretas,ITIS 008,OO3,28987,L,1700-1759,1EMA4/409,LEYVA - BONILLA JUAN FRANCISCO
Matematicas Discretas,ITIS 008,OO3,28987,MV,1700-1859,1EMA4/409,LEYVA - BONILLA JUAN FRANCISCO
Program. Orientada a Objetos I,ITIS 006,OO3,28995,A,0900-1059,1CCO2/208,SANCHEZ - GALVEZ MARIA LUZ
Program. Orientada a Objetos I,ITIS 006,OO3,28995,J,0900-1059,1CCO4/403,SANCHEZ - GALVEZ MARIA LUZ
Program. Orientada a Objetos I,ITIS 006,OO3,28995,L,1000-1059,1CCO2/208,SANCHEZ - GALVEZ MARIA LUZ
Arquitect,ITIS 251,OO1,29024,A,0700-0859,1CCO3/309,TORIZ - PALACIOS ALFREDO
Arquitect,ITIS 251,OO1,29024,J,0700-0859,1CCO4/305,TORIZ - PALACIOS ALFREDO
Arquitect,ITIS 251,OO1,29024,L,0800-0859,1CCO4/103,TORIZ - PALACIOS ALFREDO
DHPC,FGUS 002,110,38081,A,1300-1459,1CCO4/304,VAZQUEZ - RAMIREZ JESUS
DHPC,FGUS 002,110,38081,J,1300-1459,1CCO4/204,VAZQUEZ - RAMIREZ JESUS
Modelado de Procesos de Negocios,ITIS 007,OO3,39224,M,0900-1059,1CCO5/203,SANCHEZ - GALVEZ MARIA LUZ
Modelado de Procesos de Negocios,ITIS 007,OO3,39224,V,0900-1059,1CCO3/104,SANCHEZ - GALVEZ MARIA LUZ
Trabajo Colaborativo,ISTI 204,OO1,39238,AJ,1700-1859,1EMA4/409,MARTINEZ - MIRON ERIKA ANNABEL
Trabajo Colaborativo,ISTI 204,OO1,39238,L,1800-1859,1EMA4/409,MARTINEZ - MIRON ERIKA ANNABEL
Ingenieria de Software II,ISTI 200,OO1,26993,L,1500-1559,1CCO5/203,MARTINEZ - MIRON ERIKA ANNABEL
